2014-12-06T21:01:51.886Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:01:50 GMT-0400 (Hora estándar oeste, Sudamérica), pid=4088, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\app.coffee], rss=131039232, heapTotal=110892384, heapUsed=70887712, loadavg=[0, 0, 0], uptime=27619.5069189, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:06:17.987Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:06:17 GMT-0400 (Hora estándar oeste, Sudamérica), pid=4496, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\app.coffee], rss=124514304, heapTotal=108828512, heapUsed=71923472, loadavg=[0, 0, 0], uptime=27885.607139, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:12:23.018Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:12:22 GMT-0400 (Hora estándar oeste, Sudamérica), pid=6064, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\app.coffee], rss=123588608, heapTotal=108828512, heapUsed=79038928, loadavg=[0, 0, 0], uptime=28250.6390176, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:13:48.251Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:13:48 GMT-0400 (Hora estándar oeste, Sudamérica), pid=3952, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\app.coffee], rss=124051456, heapTotal=108828512, heapUsed=78892792, loadavg=[0, 0, 0], uptime=28335.8708926, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:14:14.005Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:14:13 GMT-0400 (Hora estándar oeste, Sudamérica), pid=5604, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\app.coffee], rss=126660608, heapTotal=112956256, heapUsed=75071792, loadavg=[0, 0, 0], uptime=28361.6273658, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:18:51.600Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:18:51 GMT-0400 (Hora estándar oeste, Sudamérica), pid=3864, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\index.coffee], rss=125202432, heapTotal=108840544, heapUsed=70399368, loadavg=[0, 0, 0], uptime=28639.2212432, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:19:53.025Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:19:52 GMT-0400 (Hora estándar oeste, Sudamérica), pid=4700, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\index.coffee], rss=123916288, heapTotal=108840544, heapUsed=79316008, loadavg=[0, 0, 0], uptime=28700.6457565, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:20:33.365Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:20:33 GMT-0400 (Hora estándar oeste, Sudamérica), pid=4500, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\index.coffee], rss=126959616, heapTotal=108828512, heapUsed=72052608, loadavg=[0, 0, 0], uptime=28740.9860639, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:26:08.071Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:26:07 GMT-0400 (Hora estándar oeste, Sudamérica), pid=6120, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\index.coffee], rss=123760640, heapTotal=107808608, heapUsed=78910376, loadavg=[0, 0, 0], uptime=29075.692208, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T21:31:13.207Z - error: uncaughtException: listen EADDRINUSE date=Sat Dec 06 2014 17:31:12 GMT-0400 (Hora estándar oeste, Sudamérica), pid=2200, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\index.coffee], rss=126808064, heapTotal=110892384, heapUsed=74099472, loadavg=[0, 0, 0], uptime=29380.8276607, trace=[column=11, file=net.js, function=errnoException, line=904, method=null, native=false, column=14, file=net.js, function=Server._listen2, line=1042, method=_listen2, native=false, column=10, file=net.js, function=listen, line=1064, method=null, native=false, column=5, file=net.js, function=Server.listen, line=1138, method=listen, native=false, column=36, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.post, line=1103, method=post, native=false, column=41, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=Promise.promise.promiseDispatch, line=748, method=promise.promiseDispatch, native=false, column=14, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=null, line=1333, method=null, native=false, column=17, file=D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js, function=flush, line=110, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[Error: listen EADDRINUSE,   at errnoException (net.js:904:11),   at Server._listen2 (net.js:1042:14),   at listen (net.js:1064:10),   at Server.listen (net.js:1138:5),   at Promise.post (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1103:36),   at Promise.promise.promiseDispatch (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:748:41),   at D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:1333:14,   at flush (D:\CORPROTECAPP\node_modules\jsreport\node_modules\q\q.js:110:17),   at process._tickCallback (node.js:419:13), ]
2014-12-06T22:32:56.782Z - error: uncaughtException: Cannot read property '54827692f263af24160d5d5c' of undefined date=Sat Dec 06 2014 18:32:53 GMT-0400 (Hora estándar oeste, Sudamérica), pid=4492, uid=null, gid=null, cwd=D:\CORPROTECAPP, execPath=D:\instalados\node.exe, version=v0.10.28, argv=[coffee, D:\CORPROTECAPP\index.coffee], rss=128819200, heapTotal=112960864, heapUsed=76758880, loadavg=[0, 0, 0], uptime=33084.1724799, trace=[column=35, file=D:\CORPROTECAPP\controllers\VentasController.coffee, function=VentasController.addToCart, line=55, method=addToCart, native=false, column=1, file=D:\CORPROTECAPP\controllers\VentasController.coffee, function=null, line=1, method=null, native=false, column=16, file=D:\CORPROTECAPP\node_modules\express.io\compiled\index.js, function=, line=250, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit [as $emit], line=95, method=EventEmitter.emit [as $emit], native=false, column=22, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\namespace.js, function=SocketNamespace.handlePacket, line=335, method=handlePacket, native=false, column=38, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\manager.js, function=Manager.onClientMessage, line=518, method=onClientMessage, native=false, column=20, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transport.js, function=WebSocket.Transport.onMessage, line=369, method=Transport.onMessage, native=false, column=10, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=, line=39, method=null, native=false, column=17, file=events.js, function=Parser.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=16, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=finish, line=295, method=null, native=false, column=15, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.expectHandler, line=306, method=expectHandler, native=false, column=24, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.add, line=482, method=add, native=false, column=10, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.expect, line=519, method=expect, native=false, column=18, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=, line=305, method=null, native=false, column=24, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.add, line=482, method=add, native=false, column=10, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.expect, line=519, method=expect, native=false, column=16, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=expectData, line=303, method=null, native=false, column=11, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=, line=324, method=null, native=false, column=24, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.add, line=482, method=add, native=false, column=10, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.expect, line=519, method=expect, native=false, column=14, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.opcodeHandlers.1, line=323, method=opcodeHandlers.1, native=false, column=8, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.processPacket, line=553, method=processPacket, native=false, column=24, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=Parser.add, line=482, method=add, native=false, column=17, file=D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js, function=, line=146, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=745, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=407, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=403, method=null, native=false, column=9, file=_stream_readable.js, function=readableAddChunk, line=165, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=127, method=Readable.push, native=false, column=21, file=net.js, function=TCP.onread, line=528, method=onread, native=false], stack=[TypeError: Cannot read property '54827692f263af24160d5d5c' of undefined,   at VentasController.addToCart (D:\CORPROTECAPP\controllers\VentasController.coffee:55:35),   at D:\CORPROTECAPP\controllers\VentasController.coffee:1:1,   at Socket.<anonymous> (D:\CORPROTECAPP\node_modules\express.io\compiled\index.js:250:16),   at Socket.EventEmitter.emit [as $emit] (events.js:95:17),   at SocketNamespace.handlePacket (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\namespace.js:335:22),   at Manager.onClientMessage (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\manager.js:518:38),   at WebSocket.Transport.onMessage (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transport.js:369:20),   at Parser.<anonymous> (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:39:10),   at Parser.EventEmitter.emit (events.js:95:17),   at finish (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:295:16),   at Parser.expectHandler (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:306:15),   at Parser.add (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:482:24),   at Parser.expect (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:519:10),   at Parser.<anonymous> (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:305:18),   at Parser.add (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:482:24),   at Parser.expect (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:519:10),   at expectData (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:303:16),   at Parser.<anonymous> (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:324:11),   at Parser.add (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:482:24),   at Parser.expect (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:519:10),   at Parser.opcodeHandlers.1 (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:323:14),   at Parser.processPacket (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:553:8),   at Parser.add (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:482:24),   at Socket.<anonymous> (D:\CORPROTECAPP\node_modules\express.io\node_modules\socket.io\lib\transports\websocket\hybi-16.js:146:17),   at Socket.EventEmitter.emit (events.js:95:17),   at Socket.<anonymous> (_stream_readable.js:745:14),   at Socket.EventEmitter.emit (events.js:92:17),   at emitReadable_ (_stream_readable.js:407:10),   at emitReadable (_stream_readable.js:403:5),   at readableAddChunk (_stream_readable.js:165:9),   at Socket.Readable.push (_stream_readable.js:127:10),   at TCP.onread (net.js:528:21), ]
